Network,Long Name,Code,Type,Motion,Cable Type,Cable length,Easting,Northing,Elev,Cmp01,x1,y1,z1,Cmp02,x2,y2,z2,Cmp03,x3,y3,z3
OT,UGSS4_1GEO,1,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650371.73,4766640.82,-68.08,z,0.044796114,0.366703076,0.929258932,,,,,,,,
OT,UGSS4_3ACC,2,IMS_3_7kHz_Accelerometer,acceleration,IMS_0,15,650371.75,4766640.97,-67.71,x,0,0,1,y,0,0,1,z,0.045005514,0.367044966,0.929113823
OT,UGSS3_3ACC,3,IMS_3_7kHz_Accelerometer,acceleration,IMS_0,15,650449.79,4766720.43,-68.17,x,-0.584752,0.760978,0.281029,y,-0.810935,-0.539294,-0.22704,z,-0.021215,-0.360658,0.932457
OT,UGSS3_1GEO,4,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650449.8,4766720.58,-68.54,z,-0.021054265,-0.360027926,0.932703924,,,,,,,,
OT,UGSS5_3ACC,5,IMS_3_7kHz_Accelerometer,acceleration,IMS_0,15,650296.96,4766683.38,-67.79,x,0,0,1,y,0,0,1,z,0.307740424,0.098557391,0.946352087
OT,UGSS5_1GEO,6,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650296.84,4766683.33,-68.17,z,0.308112123,0.097464039,0.946344378,,,,,,,,
OT,UGSS2_3ACC,7,IMS_3_7kHz_Accelerometer,acceleration,IMS_0,15,650396.38,4766610.77,31.8,x,-0.96572,-0.198436,-0.167354,y,0.234907,-0.942402,-0.23811,z,-0.110466,-0.26926,0.956711
OT,UGSS2_1GEO,8,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650396.43,4766610.91,31.32,z,-0.111036602,-0.268770841,0.956782686,,,,,,,,
OT,UGSS1_3ACC,9,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650324.09,4766619.48,40.26,x,-0.837251,-0.514456,0.185325,y,0.546817,-0.787056,0.285542,z,-0.001038,0.340409,0.940277
OT,UGSS1_1GEO,10,IMS_3_7kHz_Accelerometer,acceleration,IMS_0,15,650324.09,4766619.62,40.63,z,-0.000996907,0.340942333,0.940083683,,,,,,,,
OT,UGSS6_3GEO,11,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650937.17,4766826.57,-74.46,x,0.945139,0.287651,0.15482,y,-0.249891,0.941892,-0.224486,z,-0.210397,0.173482,0.9621
OT,SU05_1,12,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,220,652140.7153,4767668.2,971.7413389,x,0.955908,-0.287924,0.057789,y,-0.273737,-0.944871,-0.179689,z,0.106224,0.156543,0.981942
OT,SU05_2,13,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,420,652119.9394,4767638.08,775.1197044,x,-0.980732,0.179274,0.077625,y,-0.165441,-0.973479,0.158014,z,0.103894,0.142127,0.984381
OT,SU05_3,14,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,630,652097.1645,4767609.377,568.349036,x,-0.826159,0.562746,0.027877,y,-0.55111,-0.817389,0.167788,z,0.117208,0.123257,0.985429
OT,SU05_4,15,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,830,652072.83,4767586.412,371.172055,x,0.856084,-0.513651,-0.057298,y,0.500657,0.851694,-0.154789,z,0.128307,0.103826,0.986285
OT,SU05_5,16,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,950,652057.8064,4767574.615,252.7023612,x,-0.634171,0.773167,0.006366,y,-0.762832,-0.626994,0.158007,z,0.126157,0.095348,0.987417
OT,SU05_6,17,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1060,652043.758,4767564.212,144.1006134,x,-0.199853,-0.972619,0.118618,y,0.970956,-0.21284,-0.109288,z,0.131542,0.093332,0.986907
OT,SU10_1,18,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,185,651730.134,4766987.15,1008.348,x,0.917722,0.397223,0,y,-0.397223,0.917722,0,z,0,0,1
OT,SU10_2,19,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,325,651730.134,4766987.15,868.348,x,0.973021,0.230716,0,y,-0.230716,0.973021,0,z,0,0,1
OT,SU10_3,20,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,515,651730.134,4766987.15,678.348,x,-0.186541,0.982447,0,y,-0.982447,-0.186541,0,z,0,0,1
OT,SU10_4,21,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,715,651730.134,4766987.15,478.348,x,0.940095,-0.340913,0,y,0.340913,0.940095,0,z,0,0,1
OT,SU10_5,22,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,865,651730.134,4766987.15,328.348,x,-0.592681,-0.805438,0,y,-0.805438,0.592681,0,z,0,0,1
OT,SU10_6,23,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1015,651730.134,4766987.15,178.348,x,-0.84014,0.542369,0,y,0.542369,0.84014,0,z,0,0,1
